"Age","Year","Country","RMI"
0,1959,"France",0.04
1,1959,"France",0.04
2,1959,"France",0.04
3,1959,"France",0.04
4,1959,"France",0.04
5,1959,"France",0.0352472150653375
6,1959,"France",0.04
7,1959,"France",0.0211012311745637
8,1959,"France",0.04
9,1959,"France",0.04
10,1959,"France",0.04
11,1959,"France",0.0382145704633612
12,1959,"France",0.0121383536256216
13,1959,"France",0.04
14,1959,"France",0.04
15,1959,"France",0.04
16,1959,"France",0.04
17,1959,"France",0.04
18,1959,"France",0.04
19,1959,"France",0.04
20,1959,"France",0.04
21,1959,"France",0.04
22,1959,"France",0.04
23,1959,"France",0.04
24,1959,"France",0.04
25,1959,"France",0.04
26,1959,"France",0.04
27,1959,"France",0.04
28,1959,"France",0.04
29,1959,"France",0.04
30,1959,"France",0.04
31,1959,"France",0.04
32,1959,"France",0.04
33,1959,"France",0.04
34,1959,"France",0.04
35,1959,"France",0.04
36,1959,"France",0.04
37,1959,"France",0.0371431053860409
38,1959,"France",0.0386240938204937
39,1959,"France",0.0198101044516923
40,1959,"France",0.0219769030288845
41,1959,"France",0.0322273413592157
42,1959,"France",0.0370038536119428
43,1959,"France",0.0319339102659439
44,1959,"France",0.0231815525705412
45,1959,"France",0.0272766403399318
46,1959,"France",0.0299950056028644
47,1959,"France",0.025937538955355
48,1959,"France",0.0251867685255654
49,1959,"France",0.0200605518345713
50,1959,"France",0.0237183807243114
51,1959,"France",0.0243830695986831
52,1959,"France",0.0208404862272234
53,1959,"France",0.0212479165615893
54,1959,"France",0.0273839595555408
55,1959,"France",0.0259606150379263
56,1959,"France",0.0269963598274195
57,1959,"France",0.0177207174543839
58,1959,"France",0.0230974262787205
59,1959,"France",0.019005971373906
60,1959,"France",0.0239862551857494
61,1959,"France",0.0134696861643237
62,1959,"France",0.0158123686943443
63,1959,"France",0.0260572893180161
64,1959,"France",0.0213606285533318
65,1959,"France",0.0193119891843531
66,1959,"France",0.0144052198586809
67,1959,"France",0.0169170449259631
68,1959,"France",0.0211103657008402
69,1959,"France",0.0176838298424066
70,1959,"France",0.0183728131100151
71,1959,"France",0.0195946945405561
72,1959,"France",0.0176743061580052
73,1959,"France",0.0159117815753065
74,1959,"France",0.0159386004786403
75,1959,"France",0.014570367810449
76,1959,"France",0.015435901840655
77,1959,"France",0.0120056297635276
78,1959,"France",0.0106896460233797
79,1959,"France",0.00970568226216512
80,1959,"France",0.00947918719812605
81,1959,"France",0.00916007301659014
82,1959,"France",0.0079379234655711
83,1959,"France",0.00551294500467874
84,1959,"France",0.00483102461329814
85,1959,"France",0.00307712909699468
86,1959,"France",0.00388693623298825
87,1959,"France",0.000365769568126351
88,1959,"France",0.000999470708785055
89,1959,"France",0.00188727642758844
90,1959,"France",0.00110472475149018
91,1959,"France",-0.00825538578974453
92,1959,"France",-0.00367828046307606
93,1959,"France",-0.00285391608304352
94,1959,"France",0.00555179346072411
95,1959,"France",-0.0167782490089531
96,1959,"France",-0.00237762725734917
97,1959,"France",-0.021720313529195
98,1959,"France",0.00919519728540051
99,1959,"France",-0.010854130041292
100,1959,"France",-0.0180429364327814
101,1959,"France",-0.0313446713957553
102,1959,"France",-0.04
103,1959,"France",-0.04
104,1959,"France",-0.04
105,1959,"France",-0.00630840148620069
106,1959,"France",-0.0272306834678031
107,1959,"France",-0.00992813675814006
108,1959,"France",-0.00443063124231515
109,1959,"France",-0.00422793736165832
110,1959,"France",-0.00401734501514903
0,1960,"France",0.04
1,1960,"France",0.04
2,1960,"France",0.04
3,1960,"France",0.04
