"Species","Country","Period","e0.f","s0.f","e0.m","s0.m"
"Human","Sweden","1751-1759",37.79,0.344440104459374,34.81,0.273943325627384
"Human","Sweden","1800-1809",37.27,0.381405042349938,34.18,0.304826625284994
"Human","Sweden","1850-1859",43.91,0.578817690591762,39.83,0.476305258789615
"Human","Sweden","1900-1909",56.47,0.969024738124902,53.99,0.905602821480645
"Human","Sweden","1950-1959",73.86,1.89134969513241,70.75,1.74240079228577
"Human","Sweden","2000-2009",82.62,2.20444538933847,78.34,2.06491359742524
"Human","Trinidad","1813-1816",13.91,-0.31,15.18,-0.22
"Human","Ukraine","1933-1933",10.85,-0.39,7.3,-0.48
"Human","Liberia","1820-1843",2.229,-0.91,1.679,-0.97
"Human","Sweden","1773-1773",18.79,-0.15,17.15,-0.2
"Human","Iceland","1882-1882",18.83,-0.25,16.76,-0.32
"Human","India","2016-2017",70.3,1.46341258820112,67.4,1.39841302950561
"Human","Nigeria","2016-2017",55.7,1.00315824403737,54.7,0.989157491757928
"Human","Russia","2016-2017",77.2,1.7822579087592,66.4,1.43566346027358
"Human","USA","2016-2017",81.38,1.9653876428037,76.32,1.77029115479586
"Human","Japan","2016-2017",87.31,2.28093581089224,81.13,2.07407358130425
"Human","Hadza",NA,35.55,0.234228994870157,30.81,0.142139205945237
"Human","Ache",NA,37.1,0.371145719210313,37.8,0.472818168358182
"Human","Acculturated",NA,42.1234547595994,0.443654547163813,NA,NA
"Sifaka","Sifaka",NA,5.57914077751001,-0.374084386295465,5.92943269596327,-0.246731214997491
"Muriqui","Muriqui",NA,28.0561094965156,0.342244030673065,21.1646232140182,0.258305677557942
"Capuchin","Capuchin",NA,9.59760333822055,0.0753844495089211,8.07236039177725,0.00838087942532077
"Baboon","Baboon",NA,9.34050548357695,0.194915403210759,8.1342709889799,0.160331501705189
"Chimpanzee","Chimpanzee",NA,16.1144593410186,0.0312136002625237,12.8009896793762,0.0263740057941402
"Gorilla","Gorilla",NA,19.4142733006733,0.343621875244281,17.9714918695559,0.421750658201189
"Human","China","2016-2017",77.9,1.87535377701518,75,1.82660173600989
"Human","Sweden","1925-1934",64.1112267121827,1.327438718911,61.9950646953641,1.25010096721242
"Human","England","1600-1725",37.414457832,0.444542081395272,37.980228824,0.453673889455919
"Human","France","2016-2017",85.28,2.20876568356642,79.44,1.96224900818605
"Human","Sweden","2017",84.12,2.23595179658578,80.73,2.11948288388862
