id,name,dob,dod,age_at_death_y,age_at_death_d,sex,age_at_accession_y,age_at_accession_d
1,Betsy Baker,1842-08-20,1955-10-24,113,65,F,NA,NA
2,Rosalia Spoto,1847-08-25,1957-02-20,109,179,F,108,60
3,Christina Backs-Karnebeek,1849-10-02,1959-10-07,110,5,F,107,141
4,Marie Olsen,1850-05-01,1959-11-24,109,207,F,109,159
5,Mary Kelly,1851-06-07,1964-12-30,113,206,F,108,170
6,Elizabeth Kensley,1855-05-12,1965-03-06,109,298,F,109,232
7,William Fullingim,1855-07-07,1965-08-06,110,30,M,109,242
8,Hannah Smith,1856-01-07,1966-01-10,110,3,F,109,211
9,John Turner,1856-06-15,1968-03-21,111,280,M,109,209
10,Johanna Booyson,1857-01-17,1968-06-16,111,151,F,111,64
11,Marie Bernatkova,1857-10-22,1969-05-04,111,194,F,110,238
12,Ada Roe,1858-02-06,1970-01-11,111,339,F,111,87
13,Josefa Salas Mateo,1860-07-14,1973-02-27,112,228,F,109,181
14,Alice Stevenson,1861-07-10,1973-08-18,112,39,F,111,232
15,Elizabeth Watkins,1863-03-10,1973-10-31,110,235,F,110,161
16,Mito Umeta,1863-03-27,1975-05-31,112,65,F,110,218
17,Niwa Kawamoto,1863-08-05,1976-11-16,113,103,F,111,299
18,Sophia De Muth,1866-06-30,1977-12-02,111,155,F,110,139
19,Marie-Virginie Duhem,1866-08-02,1978-04-25,111,266,F,111,122
20,Fannie Thomas,1867-04-14,1981-01-22,113,283,F,111,11
21,Augustine Teissier,1869-01-02,1981-03-08,112,65,F,112,20
22,Nellie Spencer,1869-08-24,1982-11-13,113,81,F,111,196
23,Emma Wilson,1870-05-12,1983-10-13,113,154,F,112,185
24,Mathew Beard,1870-07-09,1985-02-16,114,222,M,113,96
25,Augusta Holtz,1871-08-03,1986-10-21,115,79,F,113,197
26,Mary McKinney,1873-05-30,1987-02-02,113,248,F,113,144
27,Anna Eliza Williams,1873-06-02,1987-12-27,114,208,F,113,245
28,Florence Knapp,1873-10-10,1988-01-11,114,93,F,114,78
29,Jeanne Calment,1875-02-21,1997-08-04,122,164,F,112,324
30,Marie-Louise Meilleur,1880-08-29,1998-04-16,117,230,F,116,340
31,Sarah Knauss,1880-09-24,1999-12-30,119,97,F,117,204
32,Eva Morris,1885-11-08,2000-11-02,114,360,F,114,52
33,Marie Bremont,1886-04-25,2001-06-06,115,42,F,114,191
34,Maud Farris-Luse,1887-01-21,2002-03-18,115,56,F,114,136
35,Grace Clawson,1887-11-15,2002-05-28,114,194,F,114,123
36,Adelina Domingues,1888-02-19,2002-08-21,114,183,F,114,98
37,Mae Harrington,1889-01-20,2002-12-29,113,343,F,113,213
38,Yukichi Chuganji,1889-03-23,2003-09-28,114,189,M,113,281
39,Mitoyo Kawate,1889-05-15,2003-11-13,114,182,F,114,136
40,Ramona Trinidad Iglesias-Jordan,1889-08-31,2004-05-29,114,272,F,114,74
41,Maria Esther de Capovilla,1889-09-14,2006-08-27,116,347,F,114,258
42,Elizabeth Bolden,1890-08-15,2006-12-11,116,118,F,116,12
43,Emiliano Mercado Del Toro,1891-08-21,2007-01-24,115,156,M,115,112
44,Emma Tillman,1892-11-22,2007-01-28,114,67,F,114,63
45,Yone Minagawa,1893-01-04,2007-08-13,114,221,F,114,24
46,Edna Parker,1893-04-20,2008-11-26,115,220,F,114,115
47,Maria de Jesus,1893-09-10,2009-01-02,115,114,F,115,77
48,Gertrude Baines,1894-04-06,2009-09-11,115,158,F,114,271
49,Kama Chinen,1895-05-10,2010-05-02,114,357,F,114,124
50,Eugenie Blanchard,1896-02-16,2010-11-04,114,261,F,114,75
51,Maria Gomes Valen,1896-07-09,2011-06-21,114,347,F,114,118
52,Besse Cooper,1896-08-26,2012-12-04,116,100,F,114,299
53,Dina Manfredini,1897-04-04,2012-12-17,115,257,F,115,244
54,Jiroemon Kimura,1897-04-19,2013-06-12,116,54,M,115,242
55,Misao Okawa,1898-03-05,2015-04-01,117,27,F,115,99
56,Gertrude Weaver,1898-07-04,2015-04-06,116,276,F,116,271
57,Jeralean Talley,1899-05-23,2015-06-17,116,25,F,115,318
58,Susannah Mushatt Jones,1899-07-06,2016-05-12,116,311,F,115,346
59,Emma Morano,1899-11-29,2017-04-15,117,137,F,116,165
60,Violet Brown,1900-03-10,NA,117,111,F,117,36
