"Year" "e0f" "Country"
"1" 1840 46.14 "Sweden"
"2" 1841 47.24 "Sweden"
"3" 1842 45.14 "Iceland"
"4" 1843 45.12 "Denmark"
"5" 1844 46.91 "Sweden"
"6" 1845 48.5 "Sweden"
"7" 1846 49.66 "Norway"
"8" 1847 46.06 "Norway"
"9" 1848 47.29 "Sweden"
"10" 1849 49.82 "Norway"
"11" 1850 51.29 "Norway"
"12" 1851 51.5 "Norway"
"13" 1852 49.93 "Norway"
"14" 1853 52.22 "Iceland"
"15" 1854 53.3 "Norway"
"16" 1855 52.27 "Norway"
"17" 1856 51.85 "Norway"
"18" 1857 51.61 "Norway"
"19" 1858 53.09 "Norway"
"20" 1859 51.28 "Norway"
"21" 1860 51.3 "Norway"
"22" 1861 48.99 "Denmark"
"23" 1862 48.48 "Denmark"
"24" 1863 48.49 "Denmark"
"25" 1864 49.95 "Norway"
"26" 1865 51.85 "Norway"
"27" 1866 51.48 "Norway"
"28" 1867 49.54 "Norway"
"29" 1868 48.94 "Norway"
"30" 1869 50.99 "Norway"
"31" 1870 52.55 "Norway"
"32" 1871 51.41 "Norway"
"33" 1872 51.88 "Sweden"
"34" 1873 51.15 "Norway"
"35" 1874 49.22 "Norway"
"36" 1875 49.15 "Norway"
"37" 1876 55.39 "New Zealand"
"38" 1877 58.55 "New Zealand"
"39" 1878 56.9 "New Zealand"
"40" 1879 55.65 "New Zealand"
"41" 1880 56.35 "New Zealand"
"42" 1881 57.33 "New Zealand"
"43" 1882 56.8 "New Zealand"
"44" 1883 55.32 "New Zealand"
"45" 1884 57.02 "New Zealand"
"46" 1885 56.97 "New Zealand"
"47" 1886 57.45 "New Zealand"
"48" 1887 58.31 "New Zealand"
"49" 1888 59.01 "New Zealand"
"50" 1889 59.43 "New Zealand"
"51" 1890 58.94 "New Zealand"
"52" 1891 57.65 "New Zealand"
"53" 1892 58.66 "New Zealand"
"54" 1893 58.36 "New Zealand"
"55" 1894 58.09 "New Zealand"
"56" 1895 58.98 "New Zealand"
"57" 1896 61.1 "New Zealand"
"58" 1897 60.4 "New Zealand"
"59" 1898 60.03 "New Zealand"
"60" 1899 58.91 "New Zealand"
"61" 1900 60.75 "New Zealand"
"62" 1901 60.48 "New Zealand"
"63" 1902 59.27 "New Zealand"
"64" 1903 59.52 "New Zealand"
"65" 1904 61.84 "New Zealand"
"66" 1905 62.44 "New Zealand"
"67" 1906 62.78 "New Zealand"
"68" 1907 59.65 "Australia"
"69" 1908 62.49 "New Zealand"
"70" 1909 63.3 "New Zealand"
"71" 1910 62.54 "New Zealand"
"72" 1911 63.31 "New Zealand"
"73" 1912 64.44 "New Zealand"
"74" 1913 63.12 "New Zealand"
"75" 1914 64.21 "New Zealand"
"76" 1915 64.61 "New Zealand"
"77" 1916 63.92 "New Zealand"
"78" 1917 64.2 "New Zealand"
"79" 1918 63.55 "Australia"
"80" 1919 64.85 "New Zealand"
"81" 1920 62.36 "New Zealand"
"82" 1921 65.53 "New Zealand"
"83" 1922 65.37 "New Zealand"
"84" 1923 64.93 "New Zealand"
"85" 1924 66.55 "New Zealand"
"86" 1925 66.37 "New Zealand"
"87" 1926 66.1 "New Zealand"
"88" 1927 66.86 "New Zealand"
"89" 1928 66.81 "New Zealand"
"90" 1929 66.97 "New Zealand"
"91" 1930 67.34 "New Zealand"
"92" 1931 67.8 "New Zealand"
"93" 1932 68.3 "New Zealand"
"94" 1933 69.05 "New Zealand"
"95" 1934 68.54 "New Zealand"
"96" 1935 69.17 "New Zealand"
