Hong Kong, Life expectancy at birth (period, 1x1)	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1986        79.73    74.10    76.95
  1987        79.87    74.14    77.01
  1988        79.84    74.23    77.03
  1989        80.08    74.10    77.05
  1990        80.22    74.47    77.31
  1991        80.77    75.23    77.99
  1992        80.74    74.91    77.75
  1993        81.10    75.44    78.23
  1994        82.02    76.00    78.99
  1995        82.20    76.17    79.15
  1996        82.44    76.53    79.44
  1997        82.97    77.08    80.00
  1998        83.14    77.22    80.13
  1999        83.37    77.60    80.45
  2000        83.65    77.80    80.69
  2001        84.41    78.22    81.28
  2002        84.46    78.41    81.41
  2003        84.16    78.15    81.10
  2004        84.54    78.60    81.53
  2005        84.47    78.65    81.52
  2006        85.30    79.39    82.33
  2007        85.48    79.24    82.32
  2008        85.09    79.26    82.15
  2009        85.64    79.79    82.70
  2010        85.89    79.95    82.89
  2011        86.40    80.31    83.34
  2012        86.37    80.43    83.38
  2013        86.93    80.97    83.95
  2014        86.91    81.16    84.04
  2015        87.11    81.38    84.25
  2016        87.43    81.37    84.40
  2017        87.79    81.79    84.81
