measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2017,72.30301823140951,74.67202208370274,69.51638631339873
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2017,74.9914236766433,78.1813105550291,71.41058700291708
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2017,73.44584531148017,75.69028986249327,70.70042005080971
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2017,75.23404215319933,78.14432142289203,71.9276956602182
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1990,67.94807264689452,70.06584060815955,65.5095782010793
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1990,70.8527418649656,73.79839797511144,67.49128481977215
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1990,65.27134531196269,67.1971206748661,63.06132864343119
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1990,68.1464627068132,70.7519306833417,65.0931060404727
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2004,70.03227044769791,72.28039175763679,67.41477255559505
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2004,73.65008153475354,76.74929698397419,70.16644683731789
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2004,70.006585092227,72.17301209145039,67.52346603666184
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2004,72.00621939740006,74.71428766621375,68.88987229499845
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2010,71.05032887183751,73.29575370421077,68.43757826818987
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2010,74.30094987273401,77.41553929789322,70.79201177871683
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2010,71.71894159266445,73.94712609309637,69.18635962605664
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2010,73.82448360457639,76.61248185946332,70.54173120731744
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1991,68.07330204207284,70.19371422876114,65.63449778854503
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1991,71.05690046960041,74.00015212380447,67.68991218450786
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1991,65.55123844268257,67.52064944003371,63.308089970965284
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1991,68.6951459409352,71.32627077612517,65.61605599351496
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1997,69.01792393780467,71.19725302430018,66.50621044315497
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1997,72.38729762753705,75.4131549945156,68.98511109695782
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1997,67.24423551308298,69.27426481124203,64.91248668794395
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1997,70.0537229460126,72.67594058799286,66.97509482526489
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1998,68.94920373622169,71.13387527741472,66.40628703195361
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1998,72.49102100101953,75.52652162801358,69.08906100362204
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1998,67.56404937511094,69.58946448061539,65.232179995256
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1998,70.4164285903357,73.09847468671207,67.31908550988094
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2018,72.3901282934437,74.74271516294544,69.66570390808465
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2018,75.03080293048734,78.25915683053425,71.44159477914799
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2018,73.46714975471257,75.73467745694644,70.72746290206766
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2018,75.26017372263246,78.16905863530643,71.93508967092397
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2011,71.01986750272646,73.27001964935953,68.41645212518303
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2011,74.14390208233937,77.26729597415688,70.65356597180305
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2011,71.97381882300894,74.19830683378409,69.4580846847891
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2011,74.09319383807079,76.92241877400748,70.79761207260506
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2012,71.36053851813091,73.62318715562665,68.70771973327038
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2012,74.4212743387709,77.54952935162694,70.89256226974356
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2012,72.20544205687125,74.4582798978627,69.63337608322838
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2012,74.11095903421351,76.91228056271736,70.86054160926413
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2019,72.48777769606879,74.8510395310753,69.78215311898168
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2019,75.13289473814794,78.29887304153496,71.53751374342244
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2019,73.65848420159745,75.95851659385444,70.91919330619828
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2019,75.21657223051614,78.15606309889749,71.87148934166781
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1992,68.15170679395554,70.27507304310522,65.71187871077493
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1992,71.2364844974706,74.20030352139834,67.8809193897178
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1992,65.96974003124326,67.94143508994996,63.69535368307814
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1992,68.95092283585379,71.56945130067167,65.87705991072579
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2005,70.08892189908421,72.33494749047355,67.47915845765229
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2005,73.71255012295667,76.79702099626492,70.21587531242254
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2005,70.29842876782341,72.45821291924848,67.79867176681844
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2005,72.75247738237599,75.5114600332162,69.53926369511565
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2006,70.35069530280008,72.62519284784547,67.73564760455174
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2006,73.85655601389004,76.9487050695524,70.36424520464978
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2006,70.61785624682365,72.80940125967724,68.09366886874514
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2006,72.91066833400741,75.68508904828101,69.68635373415017
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1999,68.98412750527235,71.18641235666703,66.45421875327519
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1999,72.62373839509833,75.65189371577127,69.19943081089393
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1999,68.14492889877674,70.20590988996564,65.69503170815508
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1999,70.73794980207114,73.42372652163353,67.58735500798662
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2000,69.28611783971641,71.51363600894764,66.6877726109691
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2000,72.93218969056822,75.9952698651638,69.48068721366154
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2000,68.61626165403598,70.71797628922639,66.15300500403497
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2000,71.13106255391612,73.83249203979629,67.92837913516439
