"","location_id","location_name","sex_id","sex_name","age_group_id","age_group_name","year_id","measure_id","measure_name","metric_id","metric_name","val","upper","lower"
"27122",67,"Japan",1,"male",28,"<1 year",1990,26,"Life expectancy",5,"Years",76.3027812113649,76.345451928986,76.2586859085565
"27124",67,"Japan",2,"female",28,"<1 year",1990,26,"Life expectancy",5,"Years",82.333826488784,82.3808408980509,82.2857774370955
"27126",67,"Japan",3,"both",28,"<1 year",1990,26,"Life expectancy",5,"Years",79.4142826052455,79.4471502958942,79.3804668685553
"27128",67,"Japan",1,"male",28,"<1 year",1991,26,"Life expectancy",5,"Years",76.4299096383124,76.4739914474414,76.3817276434707
"27130",67,"Japan",2,"female",28,"<1 year",1991,26,"Life expectancy",5,"Years",82.5494844141309,82.5943079198121,82.4984096822964
"27132",67,"Japan",3,"both",28,"<1 year",1991,26,"Life expectancy",5,"Years",79.5860975224102,79.6191444556816,79.5501366165454
"27134",67,"Japan",1,"male",28,"<1 year",1992,26,"Life expectancy",5,"Years",76.5032876019109,76.5470578949364,76.4556036271436
"27136",67,"Japan",2,"female",28,"<1 year",1992,26,"Life expectancy",5,"Years",82.7393083285679,82.7863899867432,82.6923695982777
"27138",67,"Japan",3,"both",28,"<1 year",1992,26,"Life expectancy",5,"Years",79.7160222563655,79.7475573804215,79.6815568112697
"27140",67,"Japan",1,"male",28,"<1 year",1993,26,"Life expectancy",5,"Years",76.6425564905016,76.6849101127215,76.6001346117538
"27142",67,"Japan",2,"female",28,"<1 year",1993,26,"Life expectancy",5,"Years",82.9565397346511,83.0032581280301,82.9116636374702
"27144",67,"Japan",3,"both",28,"<1 year",1993,26,"Life expectancy",5,"Years",79.8943475693875,79.925522803758,79.8611882695349
"27146",67,"Japan",1,"male",28,"<1 year",1994,26,"Life expectancy",5,"Years",76.9081477717297,76.9556792057287,76.8602131498328
"27148",67,"Japan",2,"female",28,"<1 year",1994,26,"Life expectancy",5,"Years",83.2764183842713,83.3238305565041,83.2327070698999
"27150",67,"Japan",3,"both",28,"<1 year",1994,26,"Life expectancy",5,"Years",80.1901363952625,80.2264932515271,80.1576534981493
"27152",67,"Japan",1,"male",28,"<1 year",1995,26,"Life expectancy",5,"Years",76.9013197119747,76.94863650263,76.8545703782859
"27154",67,"Japan",2,"female",28,"<1 year",1995,26,"Life expectancy",5,"Years",83.3881234487666,83.4355017572634,83.3379797954488
"27156",67,"Japan",3,"both",28,"<1 year",1995,26,"Life expectancy",5,"Years",80.2362645480866,80.2722497873275,80.2005886961939
"27158",67,"Japan",1,"male",28,"<1 year",1996,26,"Life expectancy",5,"Years",77.3527290952754,77.3980465374589,77.3084202067781
"27160",67,"Japan",2,"female",28,"<1 year",1996,26,"Life expectancy",5,"Years",83.8603893175864,83.9097128003403,83.810316975528
"27162",67,"Japan",3,"both",28,"<1 year",1996,26,"Life expectancy",5,"Years",80.7082329145842,80.7412199076744,80.6720541889084
"27164",67,"Japan",1,"male",28,"<1 year",1997,26,"Life expectancy",5,"Years",77.6110626650734,77.6557330532772,77.5641770754937
"27166",67,"Japan",2,"female",28,"<1 year",1997,26,"Life expectancy",5,"Years",84.1673928391277,84.2141866769858,84.1173086708583
"27168",67,"Japan",3,"both",28,"<1 year",1997,26,"Life expectancy",5,"Years",80.9941138501111,81.0289224338653,80.960357256933
"27170",67,"Japan",1,"male",28,"<1 year",1998,26,"Life expectancy",5,"Years",77.5717591503092,77.6196712164624,77.5240115751077
"27172",67,"Japan",2,"female",28,"<1 year",1998,26,"Life expectancy",5,"Years",84.3063960453623,84.3553553626399,84.2588773028123
"27174",67,"Japan",3,"both",28,"<1 year",1998,26,"Life expectancy",5,"Years",81.0338539056543,81.0687402806653,81.0011305571198
"27176",67,"Japan",1,"male",28,"<1 year",1999,26,"Life expectancy",5,"Years",77.6497132944881,77.6977986446035,77.6011440075243
"27178",67,"Japan",2,"female",28,"<1 year",1999,26,"Life expectancy",5,"Years",84.4749740200338,84.5256276755468,84.4291449871089
"27180",67,"Japan",3,"both",28,"<1 year",1999,26,"Life expectancy",5,"Years",81.1507518223076,81.1859596860047,81.1148014217103
"27182",67,"Japan",1,"male",28,"<1 year",2000,26,"Life expectancy",5,"Years",78.057282337518,78.1050772167558,78.014117596274
"27184",67,"Japan",2,"female",28,"<1 year",2000,26,"Life expectancy",5,"Years",84.8857035929496,84.9358551854823,84.8378137038672
"27186",67,"Japan",3,"both",28,"<1 year",2000,26,"Life expectancy",5,"Years",81.5669384732796,81.6024181207768,81.5328668191047
"27188",67,"Japan",1,"male",28,"<1 year",2001,26,"Life expectancy",5,"Years",78.3718381001987,78.4232365752648,78.3202521436417
"27190",67,"Japan",2,"female",28,"<1 year",2001,26,"Life expectancy",5,"Years",85.2417786433175,85.2901755661684,85.1899626923894
"27192",67,"Japan",3,"both",28,"<1 year",2001,26,"Life expectancy",5,"Years",81.9049919755664,81.939673107128,81.8679850751898
"27194",67,"Japan",1,"male",28,"<1 year",2002,26,"Life expectancy",5,"Years",78.6463301661921,78.6948887469884,78.5983282503135
"27196",67,"Japan",2,"female",28,"<1 year",2002,26,"Life expectancy",5,"Years",85.5090656895184,85.5595083137427,85.4614182035818
"27198",67,"Japan",3,"both",28,"<1 year",2002,26,"Life expectancy",5,"Years",82.1776232065941,82.2112251644149,82.1418660731723
"27200",67,"Japan",1,"male",28,"<1 year",2003,26,"Life expectancy",5,"Years",78.7339818256703,78.7821942606556,78.6857273234322
"27202",67,"Japan",2,"female",28,"<1 year",2003,26,"Life expectancy",5,"Years",85.6767369291447,85.7247846195899,85.6280033946058
"27204",67,"Japan",3,"both",28,"<1 year",2003,26,"Life expectancy",5,"Years",82.2977866643141,82.3334302255884,82.263580950965
"27206",67,"Japan",1,"male",28,"<1 year",2004,26,"Life expectancy",5,"Years",78.9580889660089,79.0068756304752,78.9130793576078
"27208",67,"Japan",2,"female",28,"<1 year",2004,26,"Life expectancy",5,"Years",85.7735589064824,85.8234726707915,85.7208057585545
"27210",67,"Japan",3,"both",28,"<1 year",2004,26,"Life expectancy",5,"Years",82.4595972563811,82.4959766836307,82.425175266063
